image_id,in_common182,proposal_count,single_candidate_count,component_candidate_count,topk_candidate_count,upper_candidate_count,final_iou,final_ari,single_iou,single_ari,component_iou,component_ari,topk_iou,topk_ari,upper_iou,upper_ari
61,True,2,2,1,1,5,0.7926405558939886,0.8526134425626339,0.8214002222444611,0.8743251060774705,0.1533432550224478,-0.012650045910382778,0.14943851768627334,0.0027815798600990963,0.8214002222444611,0.8743251060774705
62,True,1,1,1,0,2,0.8791578947245031,0.9134422615562277,0.8790493704784405,0.9135643395570899,0.8791578947245031,0.9134422615562277,0.0,0.0,0.8791578947245031,0.9134422615562277
63,True,1,1,1,0,2,0.8756476683827165,0.9078523158929186,0.8756694720622843,0.9081437912477015,0.8756476683827165,0.9078523158929186,0.0,0.0,0.8756694720622843,0.9081437912477015
64,True,2,2,1,1,5,0.9074715130469676,0.9121289178609926,0.9042261647129365,0.9090519286945451,0.20696604667588658,0.02073079126967092,0.20754342759828845,-0.0028312990143675196,0.9074715130469676,0.9121289178609926
65,False,0,0,0,0,1,0.0005366534292096527,-0.011719640153466668,0.0,0.0,0.0,0.0,0.0,0.0,0.0005366534292096527,-0.011719640153466668
66,True,2,2,1,1,5,0.0,0.017864634450219227,0.8567909922438989,0.9027936831901976,0.13328155963758426,-0.009758643422081261,0.13399367175640667,-0.0035267388401981447,0.8567909922438989,0.9027936831901976
67,True,1,1,1,0,2,0.9614887567722734,0.9722038548572681,0.9596168780616151,0.9708571868049923,0.9614887567722734,0.9722038548572681,0.0,0.0,0.9614887567722734,0.9722038548572681
68,True,1,1,1,0,2,0.08021766378270273,-0.0031124149470371835,0.08159377976224204,-0.02689040934373802,0.08021766378270273,-0.0031124149470371835,0.0,0.0,0.08159377976224204,-0.02689040934373802
69,False,0,0,0,0,1,0.0,-0.016041865315571766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016041865315571766
70,True,2,2,1,1,5,0.930868939021307,0.943501919891811,0.9248943526611131,0.938586744917641,0.1588377132738778,-0.00024734416849297856,0.15215598400299993,0.04450113331129309,0.930868939021307,0.943501919891811
71,True,1,1,1,0,2,0.0024513445253244903,0.046012261898430475,0.002269174524728281,0.03391686435560185,0.0024513445253244903,0.046012261898430475,0.0,0.0,0.0024513445253244903,0.046012261898430475
