image_id,in_common182,proposal_count,selected_index,selected_score,direct_iou,direct_ari
99,True,2,1,0.8164101243019104,0.921631321364296,0.920771008733324
100,True,2,1,0.8927704095840454,0.8421800335678397,0.8829927567031868
101,True,1,0,0.8362956643104553,0.7722272550695972,0.8282289406339819
102,True,3,0,0.920264720916748,0.9630668536624352,0.9664641539389986
103,True,1,0,0.8587024807929993,0.7655821713649674,0.8186165068071402
104,True,1,0,0.8489631414413452,0.0036089994624755855,-0.08044923993794355
105,True,2,1,0.8956954479217529,0.9295302013333697,0.9423527443049763
106,True,2,1,0.8350532054901123,0.9045081057006106,0.9106763879070933
107,False,0,-1,-inf,0.0,0.0
108,True,4,1,0.7230796217918396,0.9126779660893196,0.9372998030756198
109,True,1,0,0.8587950468063354,0.9348310316239111,0.9329389439469289
110,True,2,1,0.8061165809631348,0.9549785167017565,0.9707703162922375
111,True,2,1,0.9298977255821228,0.8912047302159467,0.9235038267032715
112,True,4,0,0.8245155215263367,0.0,0.08107903525968274
113,True,2,1,0.7602685689926147,0.9306941796463979,0.94696620265162
114,True,2,1,0.8704572916030884,0.9199999999847934,0.9458764637944469
115,True,3,0,0.7314919829368591,0.3882254597517527,0.476059316938541
116,True,2,1,0.9282693862915039,0.33729423307165274,0.4142933680824307
117,True,3,0,0.5404409766197205,0.9203732503744888,0.9452341586836125
118,True,2,1,0.8685394525527954,0.9592115848675847,0.9636216481740468
119,True,4,0,0.8322163224220276,0.9560187597607501,0.965448353458851
120,True,3,0,0.8705528974533081,0.9568709503175157,0.9572455311060644
121,True,2,1,0.8936510682106018,0.9552187392188216,0.9703302228849378
122,True,2,1,0.9171874523162842,0.5835601846337817,0.5666909468127229
123,True,3,0,0.9160696864128113,0.9429066625837645,0.9306849636262685
124,True,2,1,0.8050443530082703,0.7967258966699841,0.8193648715038833
125,True,2,1,0.8520596623420715,0.4177046801255568,0.5060580570873278
126,True,2,1,0.8363274335861206,0.9438235732332796,0.9303316979386076
127,True,3,1,0.5630970597267151,0.9724927805737728,0.9652274841027606
128,True,1,0,0.7888005375862122,0.8850260939346245,0.8317790441355205
129,True,2,1,0.9082818627357483,0.9371834931479669,0.9512054549998941
130,True,2,1,0.8619470596313477,0.0,-0.1073892075596535
131,True,2,1,0.8559556603431702,0.862329349398098,0.8333407027877258
132,True,2,1,0.8791982531547546,0.9566248134080548,0.9630698890810183
133,True,2,1,0.9287157654762268,0.9520507231924702,0.9614601273090003
134,True,1,0,0.8378475308418274,0.0007556806337274451,0.007318503184601242
135,True,2,1,0.8167954087257385,0.8628801881891636,0.9060708673046142
136,True,2,1,0.8976923823356628,0.9396760617148364,0.9560605765335224
137,True,1,0,0.8105282783508301,0.9214501510410263,0.9478563627949161
138,True,2,1,0.9320341348648071,0.9657691787178221,0.9757016270447705
139,True,1,0,0.4966863989830017,0.0,-0.012154828364507929
140,True,2,1,0.8252792954444885,0.9428495657300082,0.9427305041035654
